State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,
AK,Alaska Railroad Corporation(ARRC),0041,A,AR,FT,57,"18,490.0","6,609.0","7,724.0","7,827.0","40,650.0","30,635.0",6.2,3.1,5.9,4.4,19.6,11.9,
AK,Alaska Railroad Corporation(ARRC),0041,A,AR,PT,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,DR,FT,6,"24,054.0","1,618.0",0.0,"4,094.0","29,766.0",0.0,13.4,1.2,0.0,2.7,17.3,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,DR,PT,6,"1,772.0",561.0,0.0,38.0,"2,371.0",0.0,3.5,0.4,0.0,0.1,4.0,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,MB,FT,8,"30,022.0","4,132.0",0.0,"4,094.0","38,248.0",0.0,16.7,2.4,0.0,2.7,21.8,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,A,MB,PT,8,"1,485.0",702.0,0.0,38.0,"2,225.0",0.0,5.9,1.4,0.0,0.1,7.4,0.0,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,B,MB,FT,46,"203,062.0","60,622.0",0.0,"31,472.0","295,156.0","1,744.0",113.0,35.0,0.0,18.0,166.0,1.0,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,B,MB,PT,46,0.0,0.0,"7,376.0",723.0,"8,099.0",0.0,0.0,0.0,8.0,1.0,9.0,0.0,
AK,"VPSI, Anchorage",0049,D,VP,FT,52,0.0,0.0,0.0,"3,808.0","3,808.0",0.0,0.0,0.0,0.0,2.0,2.0,0.0,
AK,"VPSI, Anchorage",0049,D,VP,PT,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AL, Lee-Russell Council of Governments(LRCOG),4073,A,DR,FT,10,"17,700.0","1,381.0",0.0,"2,427.0","21,508.0",0.0,12.0,0.7,0.0,2.5,15.2,0.0,
AL, Lee-Russell Council of Governments(LRCOG),4073,A,DR,PT,10,"7,582.0",425.0,0.0,0.0,"8,007.0",0.0,7.0,2.5,0.0,0.0,9.5,0.0,
AL, Lee-Russell Council of Governments(LRCOG),4073,A,MB,FT,2,"5,375.0",680.0,0.0,"1,196.0","7,251.0",0.0,3.5,0.4,0.0,1.6,5.5,0.0,
AL, Lee-Russell Council of Governments(LRCOG),4073,A,MB,PT,2,692.0,210.0,0.0,0.0,902.0,0.0,1.0,0.6,0.0,0.0,1.6,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,DR,FT,26,"93,652.0","12,655.0","1,686.0","9,693.0","117,686.0",0.0,45.0,7.0,0.9,5.2,58.1,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,DR,PT,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,MB,FT,71,"302,702.0","62,128.0","4,032.0","49,057.0","417,919.0",0.0,169.0,33.0,2.4,27.0,231.4,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,A,MB,PT,71,"2,612.0",0.0,0.0,0.0,"2,612.0",0.0,2.0,0.0,0.0,0.0,2.0,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,FT,14,"30,661.0","2,015.0",0.0,"1,961.0","34,637.0",0.0,17.8,1.2,0.0,1.2,20.2,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,DR,PT,14,"8,186.0",775.0,156.0,349.0,"9,466.0",0.0,11.3,1.5,0.1,0.2,13.1,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,MB,FT,13,"29,130.0","2,786.0",0.0,"1,711.0","33,627.0",0.0,16.3,1.7,0.0,1.1,19.1,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,B,MB,PT,13,"12,385.0",639.0,156.0,259.0,"13,439.0",0.0,14.6,1.6,0.1,0.2,16.5,0.0,
AL,Montgomery Area Transit System(MATS),4044,A,DR,FT,8,"31,287.0","5,981.0",947.0,"6,240.0","44,455.0",0.0,15.5,2.8,0.5,3.0,21.8,0.0,
AL,Montgomery Area Transit System(MATS),4044,A,DR,PT,8,"3,080.0",488.0,0.0,0.0,"3,568.0",0.0,3.0,0.5,0.0,0.0,3.5,0.0,
AL,Montgomery Area Transit System(MATS),4044,A,MB,FT,25,"125,126.0","17,942.0","2,841.0","14,070.0","159,979.0",0.0,60.5,8.2,1.5,7.0,77.2,0.0,
AL,Montgomery Area Transit System(MATS),4044,A,MB,PT,25,"9,239.0","1,465.0","1,327.0","2,050.0","14,081.0",0.0,9.0,1.5,1.0,2.0,13.5,0.0,
AL,Morgan County Area Transportation System(MCATS),4111,A,DR,FT,28,"20,800.0","2,080.0",0.0,"2,080.0","24,960.0",0.0,10.0,1.0,0.0,1.0,12.0,0.0,
AL,Morgan County Area Transportation System(MCATS),4111,A,DR,PT,28,"22,100.0",0.0,0.0,"4,160.0","26,260.0",0.0,17.0,0.0,0.0,4.0,21.0,0.0,
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,A,DR,FT,52,"7,168.0",0.0,0.0,"6,464.0","13,632.0",0.0,4.0,0.0,0.0,4.0,8.0,0.0,
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,A,DR,PT,52,"45,237.0",0.0,0.0,0.0,"45,237.0",0.0,67.0,0.0,0.0,0.0,67.0,0.0,
AL,The Wave Transit System(WTS),4043,A,DR,FT,25,"65,175.0","10,519.0","1,026.0","15,517.0","92,237.0",0.0,30.0,4.0,0.5,8.0,42.5,0.0,
