State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,
AK,Alaska Railroad Corporation(ARRC),0041,Agency,AR,FT,36,"12,413.0","6,089.0","6,593.0","5,893.0","30,988.0","26,047.0",4.8,2.4,4.7,3.7,15.6,10.6,
AK,Alaska Railroad Corporation(ARRC),0041,Agency,AR,PT,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,DR,FT,6,"20,269.0","2,358.0",0.0,"3,495.0","26,122.0",0.0,11.0,5.0,0.0,3.5,19.5,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,DR,PT,6,"5,016.0",430.0,0.0,0.0,"5,446.0",0.0,4.0,3.0,0.0,0.0,7.0,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,MB,FT,8,"27,344.0","4,366.0",0.0,"3,909.0","35,619.0",0.0,15.0,6.0,0.0,3.5,24.5,0.0,
AK,Fairbanks North Star Borough Transit(MACS),0045,City,MB,PT,8,"7,125.0",361.0,0.0,0.0,"7,486.0",0.0,6.0,3.0,0.0,0.0,9.0,0.0,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,MB,FT,45,"190,520.0","56,619.0",0.0,"32,346.0","279,485.0","1,613.0",104.0,32.0,0.0,19.0,155.0,1.0,
AK,Municipality of Anchorage - Public Transportation Department(People Mover),0012,City,MB,PT,45,0.0,0.0,"7,209.0","1,188.0","8,397.0",0.0,0.0,0.0,6.0,2.0,8.0,0.0,
AK,"VPSI, Anchorage",0049,Contractor,VP,FT,56,0.0,0.0,0.0,"3,712.0","3,712.0",0.0,0.0,0.0,0.0,2.0,2.0,0.0,
AK,"VPSI, Anchorage",0049,Contractor,VP,PT,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AL, Lee-Russell Council of Governments(LRCOG),4073,MPO,DR,FT,15,"23,494.0","1,645.0",0.0,"2,167.0","27,306.0",0.0,11.6,0.8,0.0,1.0,13.4,0.0,
AL, Lee-Russell Council of Governments(LRCOG),4073,MPO,DR,PT,15,"7,847.0",850.0,0.0,693.0,"9,390.0",0.0,6.0,0.7,0.0,0.5,7.2,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Agency,DR,FT,26,"85,123.0","10,482.0",877.0,"9,775.0","106,257.0",0.0,40.0,6.0,0.5,5.4,51.9,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Agency,DR,PT,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Agency,MB,FT,68,"292,589.0","69,019.0","4,056.0","51,109.0","416,773.0",0.0,164.0,36.0,2.4,28.0,230.4,0.0,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Agency,MB,PT,68,"2,658.0",0.0,0.0,0.0,"2,658.0",0.0,2.0,0.0,0.0,0.0,2.0,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,DR,FT,15,"27,628.0","3,245.0",0.0,"2,046.0","32,919.0",0.0,17.9,1.7,0.0,1.2,20.8,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,DR,PT,15,"12,695.0","1,598.0",71.0,390.0,"14,754.0",0.0,11.2,1.5,0.1,0.2,13.0,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,MB,FT,13,"33,239.0","3,241.0",0.0,"2,065.0","38,545.0",0.0,16.3,2.3,0.0,1.0,19.6,0.0,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,MB,PT,13,"17,650.0",535.0,71.0,516.0,"18,772.0",0.0,14.8,1.6,0.1,0.2,16.7,0.0,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,DR,FT,8,"23,088.0","5,524.0",585.0,"5,019.0","34,216.0",0.0,15.0,3.0,0.3,2.5,20.8,0.0,
