State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount
UT,Utah Transit Authority (UTA),8001,B,MB,PT,384,0,0,0,0,0,0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
UT,Utah Transit Authority (UTA),8001,B,VP,FT,389,0,0,0,"14,626","14,626",0,0.0 ,0.0 ,0.0 ,9.0 ,9.0 ,0.0 
UT,Utah Transit Authority (UTA),8001,B,VP,PT,389,0,0,0,0,0,0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
VA,Blacksburg Transit (BT),3091,A,DR,FT,3,"1,505","1,164",250,"3,498","6,417",0,1.0 ,1.0 ,0.1 ,2.0 ,4.1 ,0.0 
VA,Blacksburg Transit (BT),3091,A,DR,PT,3,"9,195",46,0,692,"9,933",0,10.0 ,0.2 ,0.0 ,0.4 ,10.6 ,0.0 
VA,Blacksburg Transit (BT),3091,A,MB,FT,25,"10,039","8,534","1,689","15,247","35,509",0,5.0 ,5.0 ,1.0 ,7.0 ,18.0 ,0.0 
VA,Blacksburg Transit (BT),3091,A,MB,PT,25,"97,840",341,0,"2,487","100,668",0,90.0 ,2.5 ,0.0 ,3.0 ,95.5 ,0.0 
VA,Charlottesville Transit Service (CTS),3036,B,MB,FT,31,"82,680","13,005",731,"5,527","101,943",0,43.6 ,6.5 ,0.5 ,3.4 ,54.0 ,0.0 
VA,Charlottesville Transit Service (CTS),3036,B,MB,PT,31,"22,552",973,648,428,"24,601",0,21.7 ,0.6 ,0.4 ,0.3 ,23.0 ,0.0 
VA,City of Alexandria - Alexandria Transit Company (Dash),3071,A,MB,FT,47,"184,483","32,260",0,"9,070","225,813",0,86.0 ,16.0 ,0.0 ,6.0 ,108.0 ,0.0 
VA,City of Alexandria - Alexandria Transit Company (Dash),3071,A,MB,PT,47,"12,480",780,0,0,"13,260",0,16.0 ,1.0 ,0.0 ,0.0 ,17.0 ,0.0 
VA,City of Danville Mass Transit System (Danville Transit),3069,A,DR,FT,4,"4,286",506,0,0,"4,792",0,2.0 ,0.2 ,0.0 ,0.0 ,2.2 ,0.0 
VA,City of Danville Mass Transit System (Danville Transit),3069,A,DR,PT,4,"1,938",52,42,76,"2,108",0,0.9 ,0.1 ,0.1 ,0.1 ,1.2 ,0.0 
VA,City of Danville Mass Transit System (Danville Transit),3069,A,MB,FT,7,"16,803","1,574",0,0,"18,377",0,12.0 ,1.0 ,0.0 ,0.0 ,13.0 ,0.0 
VA,City of Danville Mass Transit System (Danville Transit),3069,A,MB,PT,7,"5,899",582,114,384,"6,979",0,8.0 ,0.3 ,0.1 ,0.2 ,8.6 ,0.0 
VA,City of Fairfax CUE Bus (CUE),3058,A,MB,FT,8,"40,416","2,605",0,"2,245","45,266",0,22.7 ,1.4 ,0.0 ,1.3 ,25.4 ,0.0 
VA,City of Fairfax CUE Bus (CUE),3058,A,MB,PT,8,"16,782",0,0,0,"16,782",0,14.0 ,0.0 ,0.0 ,0.0 ,14.0 ,0.0 
VA,City of Harrisonburg Department of Public Transportation (Harrisonburg Transit),3094,B,DR,FT,5,"9,628","1,869",0,"1,220","12,717",0,4.7 ,1.0 ,0.0 ,0.7 ,6.4 ,0.0 
VA,City of Harrisonburg Department of Public Transportation (Harrisonburg Transit),3094,B,DR,PT,5,"2,187",204,287,0,"2,678",5,3.0 ,1.0 ,3.0 ,0.0 ,7.0 ,0.1 
VA,City of Harrisonburg Department of Public Transportation (Harrisonburg Transit),3094,B,MB,FT,18,"29,040","6,626",0,"5,326","40,992",0,13.3 ,3.7 ,0.0 ,2.5 ,19.5 ,0.0 
VA,City of Harrisonburg Department of Public Transportation (Harrisonburg Transit),3094,B,MB,PT,18,"32,315",724,"1,017",358,"34,414",5,46.0 ,1.0 ,3.0 ,1.0 ,51.0 ,0.1 
VA,Fredericksburg Regional Transit (FRED),3079,A,MB,FT,17,"3,859","1,852",0,"5,470","11,181",0,2.0 ,1.0 ,0.0 ,3.0 ,6.0 ,0.0 
VA,Fredericksburg Regional Transit (FRED),3079,A,MB,PT,17,"53,930",0,0,"7,867","61,797",0,47.0 ,0.0 ,0.0 ,6.0 ,53.0 ,0.0 
VA,Greater Lynchburg Transit Company (GLTC),3008,A,DR,FT,3,"1,564",0,0,"1,664","3,228",0,1.0 ,0.0 ,0.0 ,0.8 ,1.8 ,0.0 
VA,Greater Lynchburg Transit Company (GLTC),3008,A,DR,PT,3,"4,986",237,294,0,"5,517",0,7.0 ,1.5 ,1.0 ,0.0 ,9.5 ,0.0 
VA,Greater Lynchburg Transit Company (GLTC),3008,A,MB,FT,18,"72,265","14,874","3,249","7,272","97,660",0,35.0 ,6.0 ,2.0 ,4.0 ,47.0 ,0.0 
VA,Greater Lynchburg Transit Company (GLTC),3008,A,MB,PT,18,"8,320","1,812","2,820","2,040","14,992",0,5.0 ,1.0 ,2.0 ,2.0 ,10.0 ,0.0 
