State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,
AL,The Wave Transit System(WTS),4043,City,MB,FT,23,"106,358.0","29,863.0",917.0,"16,553.0","153,691.0",0.0,57.0,14.0,0.5,8.0,79.5,0.0,
AL,The Wave Transit System(WTS),4043,City,MB,PT,23,"3,419.0","4,028.0",0.0,0.0,"7,447.0",0.0,3.0,3.0,0.0,0.0,6.0,0.0,
,,,,Total,,48,"168,587.0","42,900.0","1,790.0","33,915.0","247,192.0",0.0,92.0,21.0,1.0,17.0,131.0,0.0,
AL,Wiregrass Transit Authority,4103,MPO,DR,FT,15,"40,376.0",0.0,0.0,"2,442.0","42,818.0",0.0,24.0,0.0,0.0,1.2,25.2,0.0,
AL,Wiregrass Transit Authority,4103,MPO,DR,PT,15,"12,873.0",0.0,0.0,0.0,"12,873.0",0.0,10.0,0.0,0.0,0.0,10.0,0.0,
,,,,Total,,15,"53,249.0",0.0,0.0,"2,442.0","55,691.0",0.0,34.0,0.0,0.0,1.2,35.2,0.0,
AR,Central Arkansas Transit Authority(CATA),6033,Agency,DR,FT,22,"44,699.0","1,719.0",0.0,"3,971.0","50,389.0",0.0,23.0,1.0,0.0,2.0,26.0,0.0,
AR,Central Arkansas Transit Authority(CATA),6033,Agency,DR,PT,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
AR,Central Arkansas Transit Authority(CATA),6033,Agency,LR,FT,3,"16,384.0","4,059.0",0.0,"1,155.0","21,598.0",0.0,8.8,2.5,0.0,0.7,12.0,0.0,
AR,Central Arkansas Transit Authority(CATA),6033,Agency,LR,PT,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
