State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,
NY,Capital District Transportation Authority(CDTA),2002,Authority,DR,FT,28,"164,696.0","36,705.0",0.0,"14,604.0","216,005.0",0.0,55.0,16.0,0.0,9.0,80.0,0.0,
NY,Capital District Transportation Authority(CDTA),2002,Authority,DR,PT,28,"2,464.0",0.0,0.0,0.0,"2,464.0",0.0,2.0,0.0,0.0,0.0,2.0,0.0,
NY,Capital District Transportation Authority(CDTA),2002,Authority,MB,FT,195,"786,261.0","245,639.0","24,469.0","97,737.0","1,154,106.0",0.0,348.0,109.0,11.0,60.0,528.0,0.0,
NY,Capital District Transportation Authority(CDTA),2002,Authority,MB,PT,195,"2,316.0",0.0,0.0,"2,099.0","4,415.0",0.0,3.0,0.0,0.0,2.0,5.0,0.0,
NY,"Centro of Cayuga, Inc.(Centro of Cayuga)",2116,Subsidiary,MB,FT,11,"25,028.0","3,874.0","1,899.0","1,950.0","32,751.0",0.0,13.0,2.0,1.0,1.0,17.0,0.0,
NY,"Centro of Cayuga, Inc.(Centro of Cayuga)",2116,Subsidiary,MB,PT,11,"14,090.0","1,051.0",491.0,0.0,"15,632.0",0.0,24.0,3.0,2.0,0.0,29.0,0.0,
NY,"Centro of Oneida, Inc.(Centro of Oneida)",2185,Subsidiary,DR,FT,8,"18,250.0","5,000.0",0.0,0.0,"23,250.0",0.0,10.0,2.5,0.0,0.0,12.5,0.0,
NY,"Centro of Oneida, Inc.(Centro of Oneida)",2185,Subsidiary,DR,PT,8,"1,850.0",0.0,"1,100.0",300.0,"3,250.0",0.0,2.0,0.0,1.0,0.2,3.2,0.0,
NY,"Centro of Oneida, Inc.(Centro of Oneida)",2185,Subsidiary,MB,FT,23,"110,256.0","37,600.0","9,030.0","4,500.0","161,386.0",0.0,56.0,20.0,5.0,2.5,83.5,0.0,
NY,"Centro of Oneida, Inc.(Centro of Oneida)",2185,Subsidiary,MB,PT,23,"7,286.0",700.0,"1,776.0",500.0,"10,262.0",0.0,7.0,1.0,1.0,0.5,9.5,0.0,
