State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount
PA,Port Authority of Allegheny County (Port Authority),3022,B,LR,PT,55,0,0,0,0,0,0,0,0,0,0,0,0
PA,Port Authority of Allegheny County (Port Authority),3022,B,MB,FT,997,"3,537,089","1,122,096","202,595","688,388","5,550,168","40,919","1,631.90",543.4,94.3,287,"2,556.60",18.8
PA,Port Authority of Allegheny County (Port Authority),3022,B,MB,PT,997,0,0,0,0,0,0,0,0,0,0,0,0
PA,Red Rose Transit Authority (RRTA),3018,B,MB,FT,37,"127,268","23,012","1,956","10,866","163,102","2,345",65.5,12.1,1,7,85.6,1.2
PA,Red Rose Transit Authority (RRTA),3018,B,MB,PT,37,"8,895",631,0,547,"10,073",0,11,1,0,2,14,0
PA,Shenango Valley Shuttle Service (SVSS),3055,A,DR,FT,17,"21,642","3,240",0,"1,560","26,442",0,10,1.5,0,0.8,12.3,0
PA,Shenango Valley Shuttle Service (SVSS),3055,A,DR,PT,17,"23,232","1,034",0,0,"24,266",0,15,2,0,0,17,0
PA,Shenango Valley Shuttle Service (SVSS),3055,A,MB,FT,4,"8,521","3,135",0,"3,120","14,776",0,4,1.5,0,1.5,7,0
PA,Shenango Valley Shuttle Service (SVSS),3055,A,MB,PT,4,"2,892",0,"1,040",0,"3,932",0,2,0,2,0,4,0
PA,Southeastern Pennsylvania Transportation Authority (SEPTA),3019,B,CR,FT,297,"1,897,142","649,670","765,555","256,082","3,568,449","182,044",802,327,381,125,"1,635.00",87
PA,Southeastern Pennsylvania Transportation Authority (SEPTA),3019,B,CR,PT,297,"21,631",0,0,0,"21,631",0,21,0,0,0,21,0
PA,Southeastern Pennsylvania Transportation Authority (SEPTA),3019,B,HR,FT,274,"1,354,451","547,124","571,454","188,203","2,661,232","286,231",702,272,288,90,"1,352.00",164
PA,Southeastern Pennsylvania Transportation Authority (SEPTA),3019,B,HR,PT,274,"36,556",0,0,0,"36,556",0,38,0,0,0,38,0
PA,Southeastern Pennsylvania Transportation Authority (SEPTA),3019,B,LR,FT,117,"501,346","328,872","98,658","70,426","999,302","117,678",245,159,47,36,487,58
PA,Southeastern Pennsylvania Transportation Authority (SEPTA),3019,B,LR,PT,117,"14,741",0,0,0,"14,741",0,15,0,0,0,15,0
PA,Southeastern Pennsylvania Transportation Authority (SEPTA),3019,B,MB,FT,1180,"5,109,264","1,544,142","1,109,789","769,372","8,532,567","561,756","2,739.00",824,585,400,"4,548.00",262
PA,Southeastern Pennsylvania Transportation Authority (SEPTA),3019,B,MB,PT,1180,"57,561",0,0,0,"57,561",0,60,0,0,0,60,0
PA,"Trans-Bridge Lines, Inc.",2169,D,MB,FT,42,"178,083","33,555",0,"44,780","256,418",0,86,17,0,22,125,0
PA,"Trans-Bridge Lines, Inc.",2169,D,MB,PT,42,0,0,0,0,0,0,0,0,0,0,0,0
PA,Williamsport Bureau of Transportation (CityBus),3026,B,MB,FT,19,"53,642","11,180","2,080","5,096","71,998",364,30,5.5,1,2.8,39.3,0.2
PA,Williamsport Bureau of Transportation (CityBus),3026,B,MB,PT,19,"7,488","1,125",0,0,"8,613",0,7,1,0,0,8,0
PA,York County Transportation Authority (rabbittransit),3027,B,DR,FT,29,"7,059","11,784",0,"10,415","29,258",0,3.5,7.5,0,7,18,0
PA,York County Transportation Authority (rabbittransit),3027,B,DR,PT,29,"78,626",0,777,"1,599","81,002",0,52,0,1,1.5,54.5,0
PA,York County Transportation Authority (rabbittransit),3027,B,MB,FT,28,"115,547","11,784",0,"10,415","137,746",0,58.5,7.5,0,7,73,0
PA,York County Transportation Authority (rabbittransit),3027,B,MB,PT,28,0,0,778,"1,599","2,377",0,0,0,1,1.5,2.5,0
PR,Metropolitan Bus Authority (MBA),4086,A,DR,FT,38,"139,955","27,685","3,625","10,583","181,848",0,81,14,2,6,103,0
PR,Metropolitan Bus Authority (MBA),4086,A,DR,PT,38,0,0,0,0,0,0,0,0,0,0,0,0
PR,Metropolitan Bus Authority (MBA),4086,A,MB,FT,202,"934,208","462,431","121,371","343,062","1,861,072",0,555,280,71,190,"1,096.00",0
PR,Metropolitan Bus Authority (MBA),4086,A,MB,PT,202,0,0,0,0,0,0,0,0,0,0,0,0
PR,Puerto Rico Ports Authority (PRPA),4070,A,FB,FT,15,"592,081","64,614","295,809","21,659","974,163",0,287,33,151,11,482,0
PR,Puerto Rico Ports Authority (PRPA),4070,A,FB,PT,15,0,0,0,0,0,0,0,0,0,0,0,0
RI,Bonanza (BZ),1116,E,MB,FT,11,"43,766","11,762",0,"4,107","59,635",0,21,6,0,2,29,0
RI,Bonanza (BZ),1116,E,MB,PT,11,607,0,0,0,607,0,1,0,0,0,1,0
RI,Rhode Island Public Transit Authority (RIPTA),1001,B,DR,FT,87,"301,106","26,622",0,"40,329","368,057",0,178,15,0,19,212,0
RI,Rhode Island Public Transit Authority (RIPTA),1001,B,DR,PT,87,"4,290",0,0,510,"4,800",0,3,0,0,0.6,3.6,0
RI,Rhode Island Public Transit Authority (RIPTA),1001,B,MB,FT,208,"813,101","220,172","12,229","175,670","1,221,172",0,446,127,7,83,663,0
RI,Rhode Island Public Transit Authority (RIPTA),1001,B,MB,PT,208,"62,307",0,0,"1,457","63,764",0,36,0,0,2,38,0
SC,Greenville Transit Authority (GTA),4053,A,DR,FT,3,"5,913",714,51,"1,259","7,937",0,3.2,1.2,0.2,0.4,5,0
SC,Greenville Transit Authority (GTA),4053,A,DR,PT,3,"1,102",384,0,89,"1,575",0,1,0.2,0,0.2,1.4,0
SC,Greenville Transit Authority (GTA),4053,A,MB,FT,13,"61,296","11,693",455,"5,038","78,482",0,28,4.8,0.8,1.6,35.2,0
SC,Greenville Transit Authority (GTA),4053,A,MB,PT,13,"1,067",660,0,357,"2,084",0,1,0.8,0,0.8,2.6,0
SC,Pee Dee Regional Transportation Authority (PDRTA),4056,A,DR,FT,103,"192,411","10,044","1,914","29,856","234,225",0,99,5,0.9,15,119.9,0
SC,Pee Dee Regional Transportation Authority (PDRTA),4056,A,DR,PT,103,"16,731",0,0,0,"16,731",0,14.2,0,0,0,14.2,0
SC,Pee Dee Regional Transportation Authority (PDRTA),4056,A,MB,FT,4,"17,823",873,166,"2,596","21,458",0,7.5,0.5,0.1,1.2,9.3,0
SC,Pee Dee Regional Transportation Authority (PDRTA),4056,A,MB,PT,4,364,0,0,0,364,0,1.5,0,0,0,1.5,0
SC,Santee Wateree Regional Transportation Authority (SWRTA),4100,A,DR,FT,52,"89,984","11,611","1,525","16,523","119,643",0,52,6,1,13,72,0
SC,Santee Wateree Regional Transportation Authority (SWRTA),4100,A,DR,PT,52,"5,480",0,122,0,"5,602",0,4,0,1,0,5,0
SC,Santee Wateree Regional Transportation Authority (SWRTA),4100,A,MB,FT,28,"24,405","3,149",414,"4,481","32,449",0,14,1,0.5,4,19.5,0
SC,Santee Wateree Regional Transportation Authority (SWRTA),4100,A,MB,PT,28,"1,486",0,33,0,"1,519",0,1,0,0.5,0,1.5,0
SC,Spartanburg Transit System (SPARTA),4101,D,MB,FT,8,"21,809","4,915","1,740","5,010","33,474",0,9,2,1,3,15,0
SC,Spartanburg Transit System (SPARTA),4101,D,MB,PT,8,"6,006",0,0,723,"6,729",0,4,0,0,0.5,4.5,0
SC,Waccamaw Regional Transportation Authority (Lymo),4102,A,DR,FT,18,"46,228",0,0,"4,096","50,324",0,26,0,0,2,28,0
SC,Waccamaw Regional Transportation Authority (Lymo),4102,A,DR,PT,18,0,0,0,0,0,0,0,0,0,0,0,0
SC,Waccamaw Regional Transportation Authority (Lymo),4102,A,MB,FT,27,"88,002","11,795",0,"25,457","125,254",0,42,5,0,15,62,0
SC,Waccamaw Regional Transportation Authority (Lymo),4102,A,MB,PT,27,"30,163",0,"2,485",0,"32,648",0,16,0,2,0,18,0
SD,Rapid Transit System,8014,A,DR,FT,9,"21,168",0,0,350,"21,518",0,10.2,0,0,0.2,10.4,0
SD,Rapid Transit System,8014,A,DR,PT,9,"1,350",0,0,0,"1,350",0,0.7,0,0,0,0.7,0
SD,Rapid Transit System,8014,A,MB,FT,5,"16,576",0,0,192,"16,768",0,8,0,0,0.1,8.1,0
