"","agency","agencyid","organizationtype","state","county","city"
"80","Northern Arizona Intergovernmental Public Transportation Authority","9219","Authority","AZ","Coconino County","Flagstaff"
"81","Mass Transportation Authority","5032","Authority","MI","Genesee County","Flint"
"82","Mass Transportation Authority","5032","Authority","MI","Genesee County","Flint"
"83","Pee Dee Regional Transportation Authority","4056","Authority","SC","Florence County","Florence"
"84","Pee Dee Regional Transportation Authority","4056","Authority","SC","Florence County","Florence"
"85","Transfort","8011","City","CO","Larimer County","Fort Collins"
"86","Transfort","8011","City","CO","Larimer County","Fort Collins"
"87","Transfort","8011","City","CO","Larimer County","Fort Collins"
"88","Lee County Transit","4028","City","FL","Lee County","Fort Myers"
"89","Lee County Transit","4028","City","FL","Lee County","Fort Myers"
"90","Lee County Transit","4028","City","FL","Lee County","Fort Myers"
"91","Fort Wayne Public Transportation Corporation","5044","Authority","IN","Allen County","Fort Wayne"
"92","Fort Worth Transportation Authority","6007","Authority","TX","Tarrant County","Fort Worth"
"93","Transit Authority of Northern Kentucky","4019","Authority","KY","Kenton County","Fort Wright"
"94","Transit Authority of Northern Kentucky","4019","Authority","KY","Kenton County","Fort Wright"
"95","Transit Services of Frederick County","3072","City","MD","Frederick County","Frederick"
"96","Transit Services of Frederick County","3072","City","MD","Frederick County","Frederick"
"97","Fresno Area Express","9027","City","CA","Fresno County","Fresno"
"98","Gainesville Regional Transit System","4030","City","FL","Alachua County","Gainesville"
"99","Interurban Transit Partnership","5033","Authority","MI","Kent County","Grand Rapids"
"100","Laketran","5117","Authority","OH","Lake County","Grand River"
"101","Madison County Transit District","5146","Authority","IL","Madison County","Granite City"
"102","Green Bay Metro","5002","City","WI","Brown County","Green Bay"
"103","Piedmont Authority for Regional Transportation","4173","Authority","NC","Guilford County","Greensboro"
"104","Piedmont Authority for Regional Transportation","4173","Authority","NC","Guilford County","Greensboro"
"105","Westmoreland County Transit Authority","3044","City","PA","Westmoreland County","Greensburg"
"106","Coast Transit Authority","4014","Authority","MS","Harrison County","Gulfport"
"107","Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit","3083","Authority","VA","Hampton city","Hampton"
"108","City of Harrisonburg Department of Public Transportation","3094","City","VA","Harrisonburg city","Harrisonburg"
"109","City of Harrisonburg Department of Public Transportation","3094","City","VA","Harrisonburg city","Harrisonburg"
"110","Merrimack Valley Regional Transit Authority","1013","Authority","MA","Essex County","Haverhill"
"111","Victor Valley Transit Authority","9148","Authority","CA","San Bernardino County","Hesperia"
"112","Metropolitan Transit Authority of Harris County, Texas","6008","Authority","TX","Harris County","Houston"
"113","Indianapolis and Marion County Public Transportation","5050","Authority","IN","Marion County","Indianapolis"
"114","Jacksonville Transportation Authority","4040","Authority","FL","Duval County","Jacksonville"
"115","Port Authority Trans-Hudson Corporation","2098","Authority","NJ","Hudson County","Jersey City"
"116","Cambria County Transit Authority","3012","Authority","PA","Cambria County","Johnstown"
"117","Cambria County Transit Authority","3012","Authority","PA","Cambria County","Johnstown"
"118","Kalamazoo Metro Transit System","5035","City","MI","Kalamazoo County","Kalamazoo"
"119","Kalamazoo Metro Transit System","5035","City","MI","Kalamazoo County","Kalamazoo"
"120","Luzerne County Transportation Authority","3015","Authority","PA","Luzerne County","Kingston"
"121","Knoxville Area Transit","4002","City","TN","Knox County","Knoxville"
"122","Knoxville Area Transit","4002","City","TN","Knox County","Knoxville"
"123","Knoxville Area Transit","4002","City","TN","Knox County","Knoxville"
"124","LaCrosse Municipal Transit Utility","5004","City","WI","La Crosse County","La Crosse"
"125","Greater Lafayette Public Transportation Corporation","5051","Authority","IN","Tippecanoe County","Lafayette"
"126","Lakeland Area Mass Transit District","4031","Authority","FL","Polk County","Lakeland"
"127","Red Rose Transit Authority","3018","Authority","PA","Lancaster County","Lancaster"
"128","Red Rose Transit Authority","3018","Authority","PA","Lancaster County","Lancaster"
"129","Capital Area Transportation Authority","5036","Authority","MI","Ingham County","Lansing"
"130","Capital Area Transportation Authority","5036","Authority","MI","Ingham County","Lansing"
"131","Laredo Transit Management, Inc.","6009","City","TX","Webb County","Laredo"
"132","Prince George's County Transit","3085","City","MD","Prince George's County","Largo"
"133","Prince George's County Transit","3085","City","MD","Prince George's County","Largo"
"134","Regional Transportation Commission of Southern Nevada","9045","Authority","NV","Clark County","Las Vegas"
"135","City of Lawrence","7048","Consolidated","KS","Douglas County","Lawrence"
"136","City of Lawrence","7048","Consolidated","KS","Douglas County","Lawrence"
"137","Gwinnett County Board of Commissioners","4138","City","GA","Gwinnett County","Lawrenceville"
"138","Denton County Transportation Authority","6101","Authority","TX","Denton County","Lewisville"
"139","StarTran","7001","City","NE","Lancaster County","Lincoln"
"140","StarTran","7001","City","NE","Lancaster County","Lincoln"
"141","StarTran","7001","City","NE","Lancaster County","Lincoln"
"142","Livermore / Amador Valley Transit Authority","9144","Authority","CA","Alameda County","Livermore"
"143","Los Angeles County Metropolitan Transportation Authority dba: Metro","9154","Authority","CA","Los Angeles County","Los Angeles"
"144","Southern California Regional Rail Authority dba: Metrolink","9151","Authority","CA","Los Angeles County","Los Angeles"
"145","City of Los Angeles Department of Transportation","9147","City","CA","Los Angeles County","Los Angeles"
"146","Transit Authority of River City","4018","Authority","KY","Jefferson County","Louisville"
"147","City Transit Management Company, Inc.","6010","City","TX","Lubbock County","Lubbock"
"148","City Transit Management Company, Inc.","6010","City","TX","Lubbock County","Lubbock"
"149","City Transit Management Company, Inc.","6010","City","TX","Lubbock County","Lubbock"
"150","Greater Lynchburg Transit Company","3008","Authority","VA","Lynchburg city","Lynchburg"
"151","Greater Lynchburg Transit Company","3008","Authority","VA","Lynchburg city","Lynchburg"
"152","Greater Lynchburg Transit Company","3008","Authority","VA","Lynchburg city","Lynchburg"
"153","Macon-Bibb County Transit Authority","4130","Authority","GA","Bibb County","Macon"
"154","Metro Transit System","5005","City","WI","Dane County","Madison"
"155","Cobb County Department of Transportation Authority","4078","City","GA","Cobb County","Marietta"
"156","Yuba-Sutter Transit Authority","9061","Authority","CA","Yuba County","Marysville"
"157","Yuba-Sutter Transit Authority","9061","Authority","CA","Yuba County","Marysville"
"158","Memphis Area Transit Authority","4003","City","TN","Shelby County","Memphis"
"159","Memphis Area Transit Authority","4003","City","TN","Shelby County","Memphis"
"160","Milwaukee County Transit System","5008","City","WI","Milwaukee County","Milwaukee"
"161","The Wave Transit System","4043","City","AL","Mobile County","Mobile"
"162","Rock Island County Metropolitan Mass Transit District","5057","Authority","IL","Rock Island County","Moline"
"163","Westchester County Bee-Line System","2076","City","NY","Erie County","Mount Vernon"
"164","Collier Area Transit","4140","City","FL","Collier County","Naples"
"165","Metropolitan Transit Authority","4004","Authority","TN","Davidson County","Nashville"
"166","New York City Department of Transportation","2082","City","NY","New York County","New York"
"167","MTA New York City Transit","2008","Subsidiary","NY","New York County","New York"
"168","New York City Department of Transportation","2082","City","NY","New York County","New York"
"169","Bloomington-Normal Public Transit System","5047","Authority","IL","McLean County","Normal"
"170","Central Arkansas Transit Authority","6033","Authority","AR","Pulaski County","North Little Rock"
"171","Central Arkansas Transit Authority","6033","Authority","AR","Pulaski County","North Little Rock"
"172","Central Arkansas Transit Authority","6033","Authority","AR","Pulaski County","North Little Rock"
"173","Norwalk Transit District","1057","Authority","CT","Fairfield County","Norwalk"
"174","San Francisco Bay Area Rapid Transit District","9003","Authority","CA","Alameda County",""
"175","Alameda-Contra Costa Transit District","9014","Authority","CA","Alameda County","Oakland"
"176","Alameda-Contra Costa Transit District","9014","Authority","CA","Alameda County","Oakland"
"177","San Francisco Bay Area Rapid Transit District","9003","Authority","CA","Alameda County","Oakland"
"178","San Francisco Bay Area Rapid Transit District","9003","Authority","CA","Alameda County",""
"179","North County Transit District","9030","Authority","CA","San Diego County","Oceanside"
"180","North County Transit District","9030","Authority","CA","San Diego County","Oceanside"
"181","North County Transit District","9030","Authority","CA","San Diego County","Oceanside"
"182","Central Oklahoma Transportation and Parking Authority","6017","City","OK","Oklahoma County","Oklahoma City"
"183","Intercity Transit","0019","Authority","WA","Thurston County","Olympia"
"184","Intercity Transit","0019","Authority","WA","Thurston County","Olympia"
"185","Transit Authority of Omaha","7002","Authority","NE","Douglas County","Omaha"
"186","Transit Authority of Omaha","7002","Authority","NE","Douglas County","Omaha"
"187","Orange County Transportation Authority","9036","Authority","CA","Orange County","Orange"
"188","Orange County Transportation Authority","9036","Authority","CA","Orange County","Orange"
"189","Central Florida Regional Transportation Authority","4035","Authority","FL","Orange County","Orlando"
"190","Gold Coast Transit","9035","Authority","CA","Ventura County","Oxnard"
"191","Greater Peoria Mass Transit District","5056","Authority","IL","Peoria County","Peoria"
"192","Southeastern Pennsylvania Transportation Authority","3019","Authority","PA","Philadelphia County","Philadelphia"
"193","Western Contra Costa Transit Authority","9159","Authority","CA","Contra Costa County","Pinole"
"194","Port Authority of Allegheny County","3022","Authority","PA","Allegheny County","Pittsburgh"
"195","Port Authority of Allegheny County","3022","Authority","PA","Allegheny County","Pittsburgh"
"196","Port Authority of Allegheny County","3022","Authority","PA","Allegheny County","Pittsburgh"
"197","Broward County Transit Division","4029","City","FL","Broward County","Plantation"
"198","Broward County Transit Division","4029","City","FL","Broward County","Plantation"
"199","Transport of Rockland","2084","City","NY","Rockland County","Pomona"
"200","Blue Water Area Transportation Commission","5148","Authority","MI","St. Clair County","Port Huron"
"201","Blue Water Area Transportation Commission","5148","Authority","MI","St. Clair County","Port Huron"
"202","Southeast Area Transit","1040","Authority","CT","New London County","Preston"
"203","Rhode Island Public Transit Authority","1001","Authority","RI","Providence County","Providence"
"204","Belle Urban System - Racine","5006","City","WI","Racine County","Racine"
"205","Belle Urban System - Racine","5006","City","WI","Racine County","Racine"
"206","Capital Area Transit","4007","City","NC","Wake County","Raleigh"
"207","Capital Area Transit","4007","City","NC","Wake County","Raleigh"
"208","Berks Area Reading Transportation Authority","3024","Authority","PA","Berks County","Reading"
"209","Regional Transportation Commission of Washoe County","9001","Authority","NV","Washoe County","Reno"
"210","Regional Transportation Commission of Washoe County","9001","Authority","NV","Washoe County","Reno"
"211","Regional Transportation Commission of Washoe County","9001","Authority","NV","Washoe County","Reno"
"212","Riverside Transit Agency","9031","Authority","CA","Riverside County","Riverside"
"213","Riverside Transit Agency","9031","Authority","CA","Riverside County","Riverside"
"214","Regional Transit Service, Inc. and Lift Line, Inc.","2113","Authority","NY","Monroe County","Rochester"
"215","Regional Transit Service, Inc. and Lift Line, Inc.","2113","Authority","NY","Monroe County",""
"216","Beaver County Transit Authority","3023","Authority","PA","Beaver County","Rochester"
"217","Rockford Mass Transit District","5058","Authority","IL","Winnebago County","Rockford"
"218","Ride-On Montgomery County Transit","3051","City","MD","Montgomery County","Rockville"
"219","Ride-On Montgomery County Transit","3051","City","MD","Montgomery County","Rockville"
"220","Ride-On Montgomery County Transit","3051","City","MD","Montgomery County","Rockville"
"221","Sacramento Regional Transit District","9019","Authority","CA","Sacramento County","Sacramento"
"222","Bi-State Development Agency of the Missouri-Illinois Metropolitan District, d.b.a.","7006","Authority","MO","St. Louis city","St. Louis"
"223","Bi-State Development Agency of the Missouri-Illinois Metropolitan District, d.b.a.","7006","Authority","MO","St. Louis city","St. Louis"
"224","Metropolitan Council","5154","Consolidated","MN","Ramsey County","St. Paul"
"225","Pinellas Suncoast Transit Authority","4027","Authority","FL","Pinellas County","St. Petersburg"
"226","Salem Area Mass Transit District","0025","Authority","OR","Marion County","Salem"
"227","Utah Transit Authority","8001","Authority","UT","Salt Lake County","Salt Lake City"
"228","Utah Transit Authority","8001","Authority","UT","Salt Lake County","Salt Lake City"
"229","Utah Transit Authority","8001","Authority","UT","Salt Lake County","Salt Lake City"
"230","VIA Metropolitan Transit","6011","Authority","TX","Bexar County","San Antonio"
"231","San Diego Metropolitan Transit System","9026","Authority","CA","San Diego County","Chula Vista"
"232","San Diego Metropolitan Transit System","9026","Authority","CA","San Diego County","San Diego"
"233","San Diego Metropolitan Transit System","9026","Authority","CA","San Diego County","San Diego"
"234","San Diego Metropolitan Transit System","9026","Authority","CA","San Diego County","Chula Vista"
"235","San Francisco Municipal Railway","9015","City","CA","San Francisco County","San Francisco"
"236","Santa Clara Valley Transportation Authority","9013","Authority","CA","Santa Clara County","San Jose"
"237","Santa Clara Valley Transportation Authority","9013","Authority","CA","Santa Clara County","San Jose"
