AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc
9028,FB,PT,                ,                ,"523,964",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9028,MB,PT,                ,                ,"1,365,285",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9029,DR,PT,                ,                ,                ,"566,682",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9029,MB,DO,                ,                ,                ,"13,455",                ,                ,                ,                ,"2,586,814",                ,                ,                ,                ,                ,                                                                                                    
9029,MB,PT,                ,                ,                ,"70,987",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9030,CR,PT,                ,                ,"791,096",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9030,DR,PT,                ,                ,                ,"147,327",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9030,MB,PT,                ,                ,"413,068","68,120",                ,                ,                ,                ,"1,093,679",                ,                ,                ,                ,                ,                                                                                                    
9030,YR,PT,                ,                ,"304,425",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9031,DR,PT,                ,                ,                ,"426,648",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9031,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,"1,696,463",                ,                ,                ,                ,                ,                                                                                                    
9031,MB,PT,                ,                ,                ,"459,796",                ,                ,                ,                ,"246,378",                ,                ,                ,                ,                ,                                                                                                    
9032,DR,DO,                ,                ,                ,"72,338",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9032,DR,PT,                ,                ,                ,"574,740",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9032,MB,PT,                ,                ,"2,506,064","122,585",                ,"6,794,553",                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9033,DR,DO,                ,                ,                ,"4,451",                ,                ,                ,                ,                ,                ,                ,                ,                ,"462,707",                                                                                                    
9033,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,"1,385,450",                ,                ,                ,                ,"1,491,024",                                                                                                    
9034,DR,DO,                ,                ,"58,728",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9034,MB,DO,                ,                ,"16,492",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9035,DR,PT,                ,                ,                ,                ,                ,                ,                ,                ,"87,660",                ,                ,                ,                ,                ,                                                                                                    
9035,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,"734,032",                ,                ,                ,                ,                ,                                                                                                    
9036,DR,PT,                ,                ,"13,374","1,544,283",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9036,MB,DO,                ,                ,"528,181",                ,                ,"4,626,802",                ,                ,"3,123,173",                ,                ,                ,                ,                ,                                                                                                    
9036,MB,PT,                ,                ,                ,                ,                ,                ,                ,                ,"1,261,125",                ,                ,                ,                ,                ,                                                                                                    
9036,VP,PT,                ,                ,                ,"223,295",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9039,DR,DO,                ,                ,                ,491,                ,                ,                ,                ,"5,130",                ,                ,                ,                ,                ,                                                                                                    
9039,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,"670,743",                ,                ,                ,                ,                ,                                                                                                    
9041,MB,DO,                ,                ,"348,919","594,106",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9041,MB,PT,                ,                ,                ,"14,406",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9042,DR,DO,                ,                ,                ,"17,467",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9042,MB,DO,                ,                ,"27,808","446,134",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9043,DR,DO,                ,                ,                ,"1,547",                ,                ,                ,                ,"10,411",                ,                ,                ,                ,                ,                                                                                                    
9043,MB,DO,                ,                ,"8,960",                ,                ,                ,                ,                ,"99,617",                ,                ,                ,                ,                ,                                                                                                    
9044,DR,PT,                ,                ,                ,"47,394",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9045,DR,PT,                ,                ,                ,                ,                ,                ,                ,"293,062","184,988",                ,                ,                ,                ,"784,926",                                                                                                    
9045,MB,PT,                ,                ,                ,                ,                ,                ,                ,                ,"1,118,951",                ,                ,                ,                ,"4,719,913",                                                                                                    
9061,CB,PT,                ,                ,"78,674",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9061,DR,PT,                ,                ,"41,483",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
9061,MB,PT,                ,                ,"135,576",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
