AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc,Total,,
3006,DR,DO,                ,                ,"197,655","24,706",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,222361,,
3006,VP,PT,                ,                ,                ,"339,220",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,339220,,
3006,MB,DO,                ,                ,"1,486,479",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1486479,,
3007,DR,PT,                ,                ,"28,323","11,418",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,39741,,
3007,MB,DO,                ,                ,"399,909",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"7,800",                                                                                                    ,407709,,
3008,DR,DO,                ,                ,"31,401",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"1,652",                                                                                                    ,33053,,
3008,MB,DO,                ,                ,"247,848",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"13,044",                                                                                                    ,260892,,
3009,DR,DO,                ,                ,"5,378","2,406",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,7784,,
3009,MB,DO,                ,                ,"116,659",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,116659,,
3010,DR,PT,                ,                ,"439,737","30,000",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,469737,,
3010,MB,DO,                ,                ,"721,091",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,721091,,
3011,DR,DO,                ,                ,993,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,993,,
3011,DR,PT,                ,                ,                ,"7,750",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,7750,,
3011,MB,DO,                ,                ,"133,397",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,133397,,
3012,DR,DO,                ,                ,"3,971",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,3971,,
3012,IP,DO,"134,200",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,134200,,
3012,MB,DO,                ,                ,"210,389",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,210389,,
3013,DR,DO,                ,                ,"105,532","86,886",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,192418,,
3013,MB,DO,                ,                ,"387,395",                ,                ,                ,                ,                ,"74,919",                ,                ,                ,                ,                ,                                                                                                    ,462314,,
3014,MB,PT,                ,                ,"6,174",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,6174,,
3014,DR,PT,                ,                ,"18,860","36,321",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,55181,,
3014,DR,DO,                ,                ,"50,771","91,663",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,142434,,
3014,MB,DO,                ,                ,"549,398","3,959",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,553357,,
3015,DR,PT,                ,                ,                ,"11,778",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,11778,,
3015,MB,DO,                ,                ,"286,522",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,286522,,
3018,DR,PT,                ,0,0,"305,767",0,0,0,0,0,0,0,0,                ,                ,                                                                                                    ,305767,,
3018,MB,DO,                ,0,"386,708",0,0,0,0,0,0,0,0,0,0,0,                                                                                                    ,386708,,
3019,DR,PT,                ,                ,"263,470",                ,"1,646,331",                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1909801,,
3019,TB,DO,"8,131,264",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,8131264,,
3019,MB,DO,                ,                ,"16,102,430",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,16102430,,
3019,LR,DO,"32,350,741",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,32350741,,
3019,HR,DO,"146,901,070",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,146901070,,
3019,CR,DO,"200,103,265",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,200103265,,
3022,IP,PT,"178,860",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,178860,,
3022,IP,DO,"228,960",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,228960,,
3022,DR,PT,                ,                ,"412,663","909,736",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1322399,,
3022,MB,DO,                ,                ,"8,000,652",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,8000652,,
3022,LR,DO,"32,104,035",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,32104035,,
3023,DR,DO,                ,0,"49,518",0,0,0,0,0,0,0,0,0,                ,0,                                                                                                    ,49518,,
3023,MB,DO,                ,0,"260,565",0,0,0,0,0,0,0,0,                ,                ,0,                                                                                                    ,260565,,
3024,DR,PT,                ,                ,"33,735",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,33735,,
3024,DR,DO,                ,                ,"103,961",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,103961,,
3024,MB,DO,                ,                ,"432,554",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,432554,,
3025,DR,PT,                ,                ,"4,925","3,284",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,8209,,
3025,MB,PT,                ,                ,"6,555","17,334",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,23889,,
3025,MB,DO,                ,                ,"264,481",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,264481,,
3026,DR,PT,                ,0,0,"1,908",0,0,0,0,0,0,0,0,0,0,                                                                                                    ,1908,,
3026,MB,DO,                ,0,"215,952",0,0,0,0,0,0,0,0,0,0,0,                                                                                                    ,215952,,
3027,VP,PT,                ,                ,                ,"3,269",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,3269,,
3027,DR,PT,                ,                ,                ,"38,067",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,38067,,
3027,MB,PT,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"39,629",                                                                                                    ,39629,,
3027,DR,DO,                ,                ,                ,"4,320",                ,                ,                ,                ,                ,                ,                ,                ,                ,"145,215",                                                                                                    ,149535,,
3027,MB,DO,                ,                ,                ,"88,975",                ,                ,                ,                ,                ,                ,                ,                ,                ,"219,351",                                                                                                    ,308326,,
3030,MB,PT,                ,                ,"253,407",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,253407,,
3030,DR,PT,                ,                ,                ,"3,140,116",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,3140116,,
3030,MB,DO,                ,                ,"9,680,142",                ,                ,                ,                ,                ,"5,560,049",                ,                ,                ,                ,                ,                                                                                                    ,15240191,,
3030,HR,DO,"499,362,474",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,499362474,,
3034,DR,DO,                ,                ,"117,630",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,117630,,
3034,DR,PT,                ,                ,"166,108","1,138,029",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1304137,,
3034,MB,PT,                ,                ,"1,478,667",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1478667,,
3034,CR,PT,"3,534,553",                ,"2,458,872",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,5993425,,
3034,MB,DO,                ,                ,"7,741,809",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,7741809,,
3034,LR,DO,"33,609,360",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,33609360,,
3034,HR,DO,"55,468,700",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,55468700,,
3035,DR,DO,                ,                ,                ,"6,033",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,6033,,
3035,MB,DO,                ,                ,"117,547",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,117547,,
3036,MB,DO,                ,                ,"213,494","9,925",                ,                ,                ,                ,                ,                ,                ,                ,                ,"12,131",                                                                                                    ,235550,,
3040,MB,DO,                ,                ,"101,019",                ,                ,                ,                ,                ,"2,295",                ,                ,                ,                ,                ,                                                                                                    ,103314,,
3041,MB,DO,                ,                ,"28,476","2,117",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,30593,,
3041,DR,DO,                ,                ,                ,"30,672",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,30672,,
3042,DR,DO,                ,                ,"11,490",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,11490,,
3042,MB,DO,                ,                ,"85,673",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,85673,,
3044,DR,PT,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,0,,
3044,MB,PT,                ,                ,"231,074",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,231074,,
3045,DR,DO,                ,                ,                ,"242,188",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,242188,,
3048,DR,PT,                ,0,"74,506","3,095",0,0,0,0,0,0,0,0,0,0,                                                                                                    ,77601,,
3048,MB,PT,                ,0,"135,457",0,0,0,0,0,0,0,0,0,0,0,                                                                                                    ,135457,,
3051,DR,PT,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,0,,
3051,MB,DO,                ,                ,"2,513,813","71,016",                ,                ,                ,                ,"1,112,385",                ,                ,                ,                ,                ,                                                                                                    ,3697214,,
3054,VP,DO,                ,                ,                ,"17,475",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,17475,,
3054,DR,PT,                ,                ,"6,640","13,885",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,20525,,
3054,MB,DO,                ,                ,"4,807",                ,                ,                ,                ,                ,"585,893",                ,                ,                ,                ,                ,                                                                                                    ,590700,,
3055,MB,DO,                ,                ,"23,988",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,23988,,
3055,DR,DO,                ,                ,"75,936","10,819",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,86755,,
3057,CR,PT,"31,932,500",                ,0,                ,0,0,                ,                ,                ,                ,                ,                ,0,                ,                                                                                                    ,31932500,,
3058,MB,DO,                ,                ,"113,217",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,113217,,
3061,DR,PT,                ,                ,190,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,190,,
3061,MB,PT,                ,                ,"179,355",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,179355,,
3068,MB,PT,                ,                ,"1,969,101",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1969101,,
3069,DR,DO,                ,                ,"8,444","5,046",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,13490,,
3069,MB,DO,                ,                ,"39,235",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,39235,,
3070,MB,PT,                ,                ,"1,124,001",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1124001,,
3071,MB,PT,                ,                ,"4,050",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,4050,,
3071,DR,PT,                ,                ,                ,"17,413",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,17413,,
3071,MB,DO,                ,                ,"466,126",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,466126,,
3072,DR,DO,                ,                ,"51,943","7,214",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,59157,,
3072,MB,DO,                ,                ,"161,096",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,161096,,
3073,CR,PT,                ,                ,"1,840,218",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1840218,,
3074,DR,DO,                ,                ,"26,969","11,280",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,38249,,
3074,MB,DO,                ,                ,"75,987",23,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,76010,,
3075,DR,PT,                ,                ,"38,073","6,970",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,45043,,
3075,MB,PT,                ,                ,"196,811","2,846",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,199657,,
3075,DR,DO,                ,                ,"617,206","575,813",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1193019,,
3075,MB,DO,                ,                ,"1,594,918",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,1594918,,
3076,DR,DO,                ,                ,"10,071",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,10071,,
3076,MB,PT,                ,                ,                ,                ,                ,                ,                ,                ,"145,224",                ,                ,                ,                ,                ,                                                                                                    ,145224,,
3076,MB,DO,                ,                ,"159,091",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,159091,,
3078,VP,PT,                ,                ,                ,"55,010",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,55010,,
3079,MB,DO,                ,                ,"120,979",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,120979,,
3080,DR,PT,                ,                ,                ,"72,597",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,72597,,
3080,MB,PT,                ,                ,                ,                ,                ,                ,                ,                ,"194,205",                ,                ,                ,                ,"21,590",                                                                                                    ,215795,,
3081,MB,PT,                ,                ,"401,263",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,401263,,
3083,FB,PT,                ,                ,"23,622",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,23622,,
3083,VP,DO,                ,                ,                ,"56,926",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,56926,,
3083,DR,PT,                ,                ,                ,"446,649",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,446649,,
3083,MB,DO,                ,                ,"3,075,107",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,3075107,,
3085,DR,DO,                ,                ,"84,657",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,84657,,
3085,MB,PT,                ,                ,"589,091",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,589091,,
3087,MB,DO,                ,                ,"8,271",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,8271,,
3087,MB,PT,                ,                ,"36,116",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,36116,,
3087,DR,DO,                ,                ,"54,827","1,835",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,56662,,
3087,DR,PT,                ,                ,"30,219","34,550",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,64769,,
3088,DR,PT,                ,                ,"8,672","33,816",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,42488,,
3088,MB,PT,                ,                ,"28,388","131,098",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,159486,,
3089,DR,DO,                ,                ,0,"9,664",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,9664,,
3089,MB,DO,                ,                ,"149,917","23,559",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,173476,,
3091,DR,DO,                ,                ,"7,260",462,                ,                ,                ,                ,                ,                ,                ,                ,                ,"2,440",                                                                                                    ,10162,,
3091,MB,DO,                ,                ,"190,440",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"5,010",                                                                                                    ,195450,,
3092,MB,PT,                ,                ,"7,656",920,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,8576,,
3092,DR,PT,                ,                ,"72,095","14,982",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,87077,,
3094,DR,PT,                ,                ,                ,509,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,509,,
3094,DR,DO,                ,                ,                ,"12,034",                ,                ,                ,                ,                ,                ,                ,                ,                ,"2,538",                                                                                                    ,14572,,
3094,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"127,784",                                                                                                    ,127784,,
3095,DR,DO,                ,                ,                ,"46,563",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    ,46563,,
