AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc,Total
9032,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9032,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9033,DR,DO,             ,             ,             ,"4,602 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,"449,048 ",                                                                                                    ,"453,650 "
9033,MB,DO,             ,0 ,             ,          ,          ,          ,           ,          ,"1,517,285 ",             ,           ,            ,              ,"1,349,730 ",                                                                                                    ,"2,867,015 "
9034,DR,DO,             ,             ,"42,275 ","17,236 ",767 ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"60,278 "
9034,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9034,MB,DO,             ,             ,"15,685 ",571 ,250 ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"16,506 "
9035,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,"98,993 ",             ,           ,            ,              ,                ,                                                                                                    ,"98,993 "
9035,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,"793,999 ",             ,           ,            ,              ,                ,                                                                                                    ,"793,999 "
9036,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9036,MB,DO,             ,0 ,"3,102,046 ","10,576 ",0 ,"6,637,418 ",0 ,0 ,"926,557 ",0 ,0 ,0 ,0 ,0 ,                                                                                                    ,"10,676,597 "
9036,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9036,VP,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9039,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,"679,300 ",             ,           ,            ,              ,                ,                                                                                                    ,"679,300 "
9041,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9041,MB,DO,             ,             ,"813,834 ","57,923 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"871,757 "
9041,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9042,DR,PT,             ,             ,             ,"22,403 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"22,403 "
9042,MB,DO,             ,             ,"212,259 ","271,614 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"483,873 "
9043,DR,DO,             ,             ,             ,156 ,          ,          ,           ,          ,"7,931 ",             ,           ,            ,              ,                ,                                                                                                    ,"8,087 "
9043,MB,DO,             ,             ,"75,111 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"75,111 "
9044,DR,PT,             ,             ,             ,"48,802 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"48,802 "
9045,DR,PT,             ,             ,"6,016,146 ","3,593 ",          ,          ,           ,          ,"101,301 ",             ,           ,            ,              ,                ,                                                                                                    ,"6,121,040 "
9045,MB,PT,             ,             ,"942,753 ",          ,          ,          ,           ,          ,"405,204 ",             ,           ,            ,              ,                ,                                                                                                    ,"1,347,957 "
9050,DR,DO,             ,0 ,             ,"1,234 ",          ,          ,           ,          ,"83,578 ",             ,           ,            ,              ,                ,                                                                                                    ,"84,812 "
