AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc,Total
0001,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0001,LR,DO,"545,440 ",             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"545,440 "
0001,MB,DO,             ,             ,"9,581,900 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"647,752 ",                                                                                                    ,"10,229,652 "
0001,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0001,TB,DO,"16,277,945 ",             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"16,277,945 "
0001,VP,DO,             ,             ,             ,"777,412 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"777,412 "
0002,DR,DO,             ,             ,"140,174 ","31,959 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"172,133 "
0002,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0002,MB,DO,             ,             ,"1,284,000 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"1,284,000 "
0002,VP,DO,             ,             ,             ,"75,030 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"75,030 "
0003,DR,DO,             ,             ,             ,"125,137 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"125,137 "
0003,DR,PT,             ,             ,             ,"276,775 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"276,775 "
0003,MB,DO,             ,             ,11 ,"190,824 ",          ,          ,           ,          ,"3,106,347 ",             ,           ,            ,              ,                ,                                                                                                    ,"3,297,182 "
0003,VP,DO,             ,             ,             ,"324,425 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"324,425 "
0005,DR,DO,             ,             ,             ,"103,436 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"103,436 "
0005,MB,DO,             ,             ,"330,325 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"17,385 ",                                                                                                    ,"347,710 "
0006,DR,PT,             ,             ,             ,"63,161 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"63,161 "
0006,MB,DO,             ,             ,"185,730 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"185,730 "
0006,VP,DO,             ,             ,"9,849 ","23,698 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"33,547 "
0007,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0007,MB,DO,             ,             ,"901,280 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"79,364 ",                                                                                                    ,"980,644 "
0007,VP,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0008,DR,PT,             ,             ,             ,"35,656 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,"899,906 ",                                                                                                    ,"935,562 "
0008,LR,DO,"45,798,362 ",             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"45,798,362 "
0008,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"5,944,636 ",                                                                                                    ,"5,944,636 "
0011,DR,DO,             ,             ,"33,055 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"33,055 "
0011,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0011,MB,DO,             ,             ,             ,"10,676 ",          ,          ,           ,          ,"255,527 ",             ,           ,            ,              ,                ,                                                                                                    ,"266,203 "
0011,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0012,DR,PT,             ,             ,             ,"190,407 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"190,407 "
0012,MB,DO,             ,             ,"574,540 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"574,540 "
0016,DR,PT,             ,             ,"9,821 ","12,378 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"22,199 "
0016,MB,DO,             ,             ,"50,081 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"50,081 "
0018,DR,DO,             ,             ,"240,705 ","128,424 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"369,129 "
0018,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0018,MB,DO,             ,             ,"619,588 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"41,985 ",                                                                                                    ,"661,573 "
0018,VP,DO,             ,             ,"127,887 ","207,351 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"335,238 "
0019,DR,DO,             ,             ,             ,"3,504 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,"96,555 ",                                                                                                    ,"100,059 "
0019,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"642,564 ",                                                                                                    ,"642,564 "
0019,VP,DO,             ,             ,             ,"201,680 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"201,680 "
0020,DR,DO,             ,             ,"216,191 ",59 ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"9,945 ",                                                                                                    ,"226,195 "
0020,FB,PT,             ,             ,"47,073 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"47,073 "
0020,MB,DO,             ,             ,"558,110 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"24,623 ",                                                                                                    ,"582,733 "
0020,VP,DO,             ,             ,"74,013 ","12,420 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,"3,192 ",                                                                                                    ,"89,625 "
0021,DR,DO,             ,             ,             ,"127,737 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"127,737 "
0021,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0021,MB,DO,             ,             ,"415,892 ","11,460 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"427,352 "
0022,DR,DO,             ,             ,"34,718 ","52,116 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"86,834 "
0022,MB,DO,             ,             ,"58,584 ","3,677 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"62,261 "
0023,MO,PT,"295,805 ",             ,0 ,          ,0 ,0 ,           ,          ,          ,             ,           ,            ,0 ,                ,                                                                                                    ,"295,805 "
0024,DR,DO,             ,             ,"179,652 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"13,917 ",                                                                                                    ,"193,569 "
0024,MB,DO,             ,             ,"949,652 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"66,101 ",                                                                                                    ,"1,015,753 "
0025,DR,PT,             ,             ,"71,423 ","18,889 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,780 ,                                                                                                    ,"91,092 "
0025,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,"465,320 ",             ,           ,            ,              ,"235,842 ",                                                                                                    ,"701,162 "
0025,VP,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0028,FB,PT,             ,             ,"131,247 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"131,247 "
0029,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0029,MB,DO,             ,             ,"1,816,953 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"1,816,953 "
0029,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0029,VP,DO,             ,             ,             ,"289,655 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"289,655 "
0034,DR,PT,             ,             ,"3,862 ","35,002 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"38,864 "
0034,MB,DO,             ,             ,"33,005 ",0 ,          ,          ,           ,          ,"124,695 ",             ,           ,            ,              ,                ,                                                                                                    ,"157,700 "
0035,FB,DO,             ,             ,"17,182,128 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"17,182,128 "
0040,CR,PT,0 ,             ,"1,049,633 ",          ,0 ,0 ,           ,          ,          ,             ,           ,            ,0 ,                ,                                                                                                    ,"1,049,633 "
0040,LR,DO,"418,365 ",             ,0 ,          ,0 ,0 ,           ,          ,          ,             ,           ,            ,0 ,                ,                                                                                                    ,"418,365 "
0040,MB,DO,             ,0 ,"1,921,854 ",0 ,0 ,0 ,0 ,0 ,"252,270 ",0 ,0 ,0 ,0 ,"113,755 ",                                                                                                    ,"2,287,879 "
0040,MB,PT,             ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,0 
0041,AR,DO,             ,             ,"129,293 ",          ,0 ,0 ,           ,          ,          ,             ,           ,            ,0 ,                ,                                                                                                    ,"129,293 "
0043,DR,DO,             ,             ,"11,434 ","20,976 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"32,410 "
0043,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
0043,MB,DO,             ,             ,"273,224 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"273,224 "
0043,VP,DO,             ,             ,             ,"3,861 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"3,861 "
0044,DR,DO,             ,             ,"35,991 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"35,991 "
0044,MB,DO,             ,             ,"123,048 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"123,048 "
0044,VP,DO,             ,             ,             ,"44,875 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"44,875 "
0045,DR,DO,             ,             ,"20,495 ","2,094 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"22,589 "
0045,MB,DO,             ,             ,"76,464 ","3,535 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"79,999 "
0046,DR,DO,             ,0 ,"15,777 ","2,788 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,"18,565 "
0046,MB,DO,             ,0 ,"55,393 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,"55,393 "
0049,VP,DO,             ,             ,             ,"90,713 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"90,713 "
0050,DR,PT,             ,             ,875 ,"30,633 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"31,508 "
0050,MB,PT,             ,             ,27 ,"42,610 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"42,637 "
1001,DR,DO,             ,             ,"386,647 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"386,647 "
1001,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1001,MB,DO,             ,             ,"2,191,000 ",          ,          ,          ,           ,          ,"176,936 ",             ,           ,            ,              ,                ,                                                                                                    ,"2,367,936 "
1002,DR,DO,             ,             ,"4,356 ","9,663 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"14,019 "
1002,MB,DO,             ,             ,"108,303 ",15 ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"108,318 "
1003,CR,PT,             ,             ,"12,679,305 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"12,679,305 "
1003,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1003,FB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1003,HR,DO,"199,340,192 ",             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"199,340,192 "
1003,LR,DO,"53,531,380 ",             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"53,531,380 "
1003,MB,DO,             ,             ,"5,184,525 ",          ,          ,          ,           ,          ,"4,512,637 ",             ,           ,            ,              ,                ,                                                                                                    ,"9,697,162 "
1003,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1003,TB,DO,"6,375,227 ",             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"6,375,227 "
1004,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"92,772 ",                                                                                                    ,"92,772 "
1004,MB,PT,             ,             ,0 ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"334,104 ",                                                                                                    ,"334,104 "
1005,DR,DO,             ,             ,"1,062 ","20,033 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"21,095 "
1005,DR,PT,             ,             ,394 ,"48,682 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"49,076 "
1005,MB,DO,             ,             ,"224,100 ","2,567 ",          ,          ,           ,          ,"30,944 ",             ,           ,            ,              ,                ,                                                                                                    ,"257,611 "
1006,DR,PT,             ,             ,"42,328 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"42,328 "
1006,MB,PT,             ,             ,"297,049 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"297,049 "
1007,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1007,MB,PT,             ,             ,"155,038 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"155,038 "
1008,DR,PT,             ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,0 
1008,MB,PT,             ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,0 
1013,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1013,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1014,DR,DO,             ,             ,"2,101 ","27,912 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"30,013 "
1014,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1014,MB,DO,             ,             ,"418,820 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"418,820 "
1015,DR,PT,             ,0 ,             ,          ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,0 
1015,MB,PT,             ,0 ,             ,          ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,0 
1016,MB,DO,             ,             ,"91,020 ",          ,          ,          ,           ,          ,"138,649 ",             ,           ,            ,              ,                ,                                                                                                    ,"229,669 "
1017,DR,PT,             ,             ,"237,053 ","145,939 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"382,992 "
1017,MB,PT,             ,             ,"172,423 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"172,423 "
1040,DR,PT,             ,             ,"9,157 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"9,157 "
1040,MB,DO,             ,             ,"242,271 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"242,271 "
1042,DR,DO,             ,             ,"36,665 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"36,665 "
1047,MB,DO,             ,             ,"160,777 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"160,777 "
1048,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,"2,104 ","1,922,575 ",Kilograms of hydrogen                                                                               ,"1,924,679 "
1049,DR,DO,             ,             ,             ,"298,616 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"298,616 "
1049,MB,DO,             ,"83,800 ",             ,"35,400 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"119,200 "
1050,DR,PT,             ,             ,"67,555 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"67,555 "
1050,MB,DO,             ,             ,"659,894 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"659,894 "
1051,DR,DO,             ,             ,"52,322 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"52,322 "
1051,MB,DO,             ,             ,"196,842 ",294 ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"197,136 "
1053,DR,PT,             ,             ,"19,262 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"19,262 "
1053,MB,PT,             ,             ,"50,645 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"50,645 "
1055,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"1,051,359 ",                                                                                                    ,"1,051,359 "
1056,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"433,729 ",                                                                                                    ,"433,729 "
1057,DR,DO,             ,             ,"39,430 ","1,941 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"41,371 "
1057,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1057,MB,DO,             ,             ,"269,318 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"269,318 "
1057,MB,PT,             ,             ,"7,134 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"7,134 "
1061,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1061,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1063,DR,PT,             ,             ,"9,500 ","9,205 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"18,705 "
1063,MB,DO,             ,             ,"78,291 ","9,876 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"88,167 "
1063,MB,PT,             ,             ,"8,583 ","7,162 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"15,745 "
1064,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1064,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
1066,DR,PT,             ,             ,             ,"41,023 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"41,023 "
1066,MB,DO,             ,             ,"322,181 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"21,479 ",                                                                                                    ,"343,660 "
1066,VP,DO,             ,             ,             ,"3,530 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"3,530 "
1069,DR,DO,             ,             ,"60,513 ","24,331 ","1,512 ",          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"86,356 "
1086,DR,DO,             ,             ,"1,428 ","4,285 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"5,713 "
1086,MB,DO,             ,             ,"67,793 ","9,348 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,"5,047 ",                                                                                                    ,"82,188 "
1086,MB,PT,             ,             ,"8,560 ","2,140 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"10,700 "
1087,DR,DO,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"26,163 ",                                                                                                    ,"26,163 "
1087,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,"57,103 ",                                                                                                    ,"57,103 "
1088,FB,DO,             ,             ,"104,767 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"104,767 "
1095,DR,DO,             ,             ,"91,267 ","9,612 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"100,879 "
1095,MB,DO,             ,             ,"310,344 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"310,344 "
1096,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
