AgencyID,mode_cd,service_cd,kwh_propulsion,kwh_charge_batteries,gl_diesel_num,gl_gas_num,gl_lpg_num,gl_lng_num,gl_meth_num,gl_eth_num,gl_cng_num,gl_bunker_num,gl_kero_num,gl_grain_num,other_fuel_num,gl_biodiesel_num,Total
1003,HR,DO,"193,717,399",0,0,0,0,0,0,0,0,0,0,0,0,0,193717399
1003,LR,DO,"51,590,598",0,0,0,0,0,0,0,0,0,0,0,0,0,51590598
1003,MB,DO,0,0,"4,816,334",0,0,0,0,0,"4,252,713",0,0,0,0,0,9069047
1003,TB,DO,"6,404,666",0,0,0,0,0,0,0,0,0,0,0,0,0,6404666
1005,MB,DO,0,0,"227,918",0,0,0,0,0,"39,069",0,0,0,0,0,266987
1014,DR,DO,0,0,"3,009","20,638",0,0,0,0,0,0,0,0,0,0,23647
1014,MB,DO,0,0,"429,328",0,0,0,0,0,0,0,0,0,0,0,429328
1016,MB,DO,0,11,"151,444",0,0,0,0,0,"86,224",0,0,0,0,0,237679
1040,MB,DO,0,0,"245,829",0,0,0,0,0,0,0,0,0,0,0,245829
1047,MB,DO,0,0,"142,575",0,0,0,0,0,0,0,0,0,0,0,142575
1048,MB,DO,0,0,"1,847,472",0,0,0,0,0,0,0,0,0,0,0,1847472
1049,DR,DO,0,0,0,"201,608",0,0,0,0,0,0,0,0,0,0,201608
1049,MB,DO,0,"90,590",0,"24,497",0,0,0,0,0,0,0,0,0,0,115087
1050,MB,DO,0,0,"637,288",0,0,0,0,0,0,0,0,0,0,0,637288
1051,DR,DO,0,0,"46,553",0,0,0,0,0,0,0,0,0,0,0,46553
1051,MB,DO,0,0,"194,005","3,337",0,0,0,0,0,0,0,0,0,0,197342
1052,MB,DO,0,0,"18,800",0,0,0,0,0,0,0,0,0,0,0,18800
1055,MB,DO,0,0,"1,026,669",0,0,0,0,0,0,0,0,0,0,0,1026669
1056,MB,DO,0,0,"413,018",0,0,0,0,0,0,0,0,0,0,0,413018
1057,DR,DO,0,0,"37,995","1,130",0,0,0,0,0,0,0,0,0,0,39125
1057,MB,DO,0,0,"267,507",0,0,0,0,0,0,0,0,0,0,0,267507
