AgencyID,  mode_cd,  service_cd, kwh_propulsion,  kwh_charge_batteries,  gl_diesel_num, gl_gas_num, ec.gl_lpg_num, ec.gl_lng_num, ec.gl_meth_num, gl_eth_num,  gl_cng_num,  gl_bunker_num,  gl_kero_num, gl_grain_num,  other_fuel_num,  gl_biodiesel_num, other_energy_desc,Total
4034,HR,DO,"86,621,399",0,0,0,0,0,0,0,0,0,0,0,0,0,,"86,621,399"
4034,MB,DO,0,0,"11,534,934",0,0,0,0,0,0,0,0,0,0,0,,"11,534,934"
4035,MB,DO,0,0,"3,869,343",0,0,0,0,0,"105,310",0,0,0,0,0,,"3,974,653"
4036,DR,DO,0,0,"72,189",925,0,0,0,0,0,0,0,0,0,0,,"73,114"
4036,MB,DO,0,0,"559,982",0,0,0,0,0,0,0,0,0,0,0,,"559,982"
4037,MB,DO,0,0,"1,642,075",0,0,0,0,0,0,0,0,0,0,0,,"1,642,075"
4038,MB,DO,0,0,"346,442",0,0,0,0,0,0,0,0,0,0,0,,"346,442"
4040,AG,DO,"1,468,733",0,0,0,0,0,0,0,0,0,0,0,0,0,,"1,468,733"
4040,MB,DO,0,0,"2,752,531",0,0,0,0,0,0,0,0,0,0,0,,"2,752,531"
4041,DR,DO,0,0,"91,674","3,109",0,0,0,0,0,0,0,0,0,0,,"94,783"
4041,LR,DO,"621,600",0,0,0,0,0,0,0,0,0,0,0,0,0,,"621,600"
4041,MB,DO,0,0,"2,011,655",0,0,0,0,0,"8,519",0,0,0,0,0,,"2,020,174"
4042,DR,DO,0,0,"105,352",0,0,0,0,0,0,0,0,0,0,0,,"105,352"
4042,MB,DO,0,0,"301,439",0,0,0,0,0,"677,627",0,0,0,0,0,,"979,066"
4043,DR,DO,0,0,"40,570","20,808",0,0,0,0,"45,276",0,0,0,0,0,,"106,654"
4043,MB,DO,0,"40,500","271,510",0,0,0,0,0,0,0,0,0,0,0,,"312,010"
4044,DR,DO,0,0,"59,596",0,0,0,0,0,0,0,0,0,0,0,,"59,596"
4044,MB,DO,0,0,"139,057",0,0,0,0,0,0,0,0,0,0,0,,"139,057"
4045,DR,DO,0,0,"1,009","20,117",0,0,0,0,0,0,0,0,0,0,,"21,126"
4045,MB,DO,0,0,"41,307",0,0,0,0,0,0,0,0,0,0,0,,"41,307"
4046,DR,DO,0,0,"95,514","7,489",0,0,0,0,0,0,0,0,0,0,,"103,003"
4046,MB,DO,0,0,"406,516",0,0,0,0,0,0,0,0,0,0,0,,"406,516"
4047,DR,DO,0,0,"8,911",933,0,0,0,0,0,0,0,0,0,0,,"9,844"
4047,MB,DO,0,0,"234,799","1,328",0,0,0,0,0,0,0,0,0,0,,"236,127"
4051,DR,DO,0,0,0,"57,262",0,0,0,0,0,0,0,0,0,0,,"57,262"
4051,MB,DO,0,0,0,0,0,0,0,0,0,0,"524,111",0,0,0,,"524,111"
4053,DR,DO,0,0,"6,409","2,288",0,0,0,0,0,0,0,0,0,0,,"8,697"
4053,MB,DO,0,0,"147,554","17,980",0,0,0,0,0,0,0,0,0,0,,"165,534"
4054,DR,DO,0,0,"14,427","6,995",0,0,0,0,0,0,0,0,0,0,,"21,422"
4054,MB,DO,0,0,"49,033",0,0,0,0,0,0,0,0,0,0,0,,"49,033"
4056,DR,DO,0,0,"71,067","508,015",0,0,0,0,0,0,0,0,0,0,,"579,082"
4056,MB,DO,0,0,"15,600",0,0,0,0,0,0,0,0,0,0,0,,"15,600"
4057,DR,DO,0,0,"23,300",0,0,0,0,0,0,0,0,0,0,0,,"23,300"
4057,MB,DO,0,0,"113,242",0,0,0,0,0,0,0,0,0,0,0,,"113,242"
4058,DR,DO,0,0,"7,968",25,0,0,0,0,0,0,0,0,0,0,,"7,993"
4058,MB,DO,0,0,"90,854",0,0,0,0,0,0,0,0,0,0,0,,"90,854"
4063,DR,DO,0,0,"139,966","6,747",0,0,0,0,0,0,0,0,0,0,,"146,713"
4063,MB,DO,0,0,"164,308",0,0,0,0,0,0,0,0,0,0,0,,"164,308"
4068,DR,DO,0,0,"10,858","67,697",0,0,0,0,0,0,0,0,0,0,,"78,555"
4070,FB,DO,0,0,"1,716,720",0,0,0,0,0,0,0,0,0,0,0,,"1,716,720"
4071,DR,DO,0,0,0,"54,012",0,0,0,0,0,0,0,0,0,0,,"54,012"
4071,MB,DO,0,0,"103,830",300,0,0,0,0,0,0,0,0,0,0,,"104,130"
4073,DR,DO,0,0,"30,315","17,684",0,0,0,0,0,0,0,0,0,0,,"47,999"
4073,MB,DO,0,0,"19,322",0,0,0,0,0,0,0,0,0,0,0,,"19,322"
4074,DR,DO,0,0,"14,719","29,878",0,0,0,0,0,0,0,0,0,0,,"44,597"
4074,MB,DO,0,0,"144,891",0,0,0,0,0,0,0,0,0,0,0,,"144,891"
4082,VP,DO,0,0,0,"42,061",0,0,0,0,"6,436",0,0,0,0,0,,"48,497"
4085,MB,DO,0,0,"58,382",0,0,0,0,0,0,0,0,0,0,0,,"58,382"
4086,DR,DO,0,0,"128,598",0,0,0,0,0,0,0,0,0,0,0,,"128,598"
4086,MB,DO,0,0,"2,927,092",0,0,0,0,0,0,0,0,0,0,0,,"2,927,092"
4092,DR,DO,0,0,"25,543","5,964",0,0,0,0,0,0,0,0,0,0,,"31,507"
4092,MB,DO,0,0,"147,954",0,0,0,0,0,0,0,0,0,0,0,,"147,954"
4097,DR,DO,0,0,"46,597","34,487",0,0,0,0,0,0,0,0,0,0,,"81,084"
4097,MB,DO,0,0,"18,764",918,0,0,0,0,0,0,0,0,0,0,,"19,682"
4100,DR,DO,0,0,"11,893","222,820",0,0,0,0,0,0,0,0,0,0,,"234,713"
4100,MB,DO,0,0,"65,948",0,0,0,0,0,0,0,0,0,0,0,,"65,948"
4101,MB,DO,0,0,"79,530",0,0,0,0,0,0,0,0,0,0,0,,"79,530"
4102,DR,DO,0,0,0,"65,079",0,0,0,0,0,0,0,0,0,0,,"65,079"
4102,MB,DO,0,0,"143,498","79,670",0,0,0,0,0,0,0,0,0,0,,"223,168"
4103,DR,DO,0,0,"66,879","11,403",0,0,0,0,0,0,0,0,0,0,,"78,282"
4108,DR,DO,0,0,0,"15,542",0,0,0,0,0,0,0,0,0,0,,"15,542"
4108,MB,DO,0,0,"455,731",0,0,0,0,0,0,0,0,0,0,0,,"455,731"
4108,VP,DO,0,0,0,"76,872",0,0,0,0,0,0,0,0,0,0,,"76,872"
4111,DR,DO,0,0,450,"70,056",0,0,0,0,0,0,0,0,0,0,,"70,506"
4113,DR,DO,0,0,"65,187","6,238",0,0,0,0,0,0,0,0,0,0,,"71,425"
4113,MB,DO,0,0,"4,861",0,0,0,0,0,0,0,0,0,0,0,,"4,861"
4127,DR,DO,0,0,"36,102","23,425",0,0,0,0,0,0,0,0,0,0,,"59,527"
4127,MB,DO,0,0,"43,451",0,0,0,0,0,0,0,0,0,0,0,,"43,451"
4130,MB,DO,0,0,"239,949",0,0,0,0,0,0,0,0,0,0,0,,"239,949"
4135,VP,DO,0,0,"23,215","42,896",0,0,0,0,0,0,0,0,0,0,,"66,111"
4142,MB,DO,0,0,"12,389",0,0,0,0,0,0,0,0,0,0,0,,"12,389"
4148,DR,DO,0,0,0,"97,146",0,0,0,0,0,0,0,0,0,0,,"97,146"
4152,VP,DO,0,0,0,"85,261",0,0,0,0,0,0,0,0,0,0,,"85,261"
4153,VP,DO,0,0,0,"8,261",0,0,0,0,0,0,0,0,0,0,,"8,261"
5001,MB,DO,0,0,"177,300",0,0,0,0,0,0,0,0,0,0,0,,"177,300"
5002,MB,DO,0,0,"272,137",0,0,0,0,0,0,0,0,0,0,0,,"272,137"
5003,LR,DO,"191,840",0,0,0,0,0,0,0,0,0,0,0,0,0,,"191,840"
5003,MB,DO,0,0,"247,205",0,0,0,0,0,568,0,0,0,0,0,,"247,773"
5004,MB,DO,0,0,"152,449",0,0,0,0,0,0,0,0,0,0,0,,"152,449"
