AgencyID,  mode_cd,  service_cd, kwh_propulsion,  kwh_charge_batteries,  gl_diesel_num, gl_gas_num, ec.gl_lpg_num, ec.gl_lng_num, ec.gl_meth_num, gl_eth_num,  gl_cng_num,  gl_bunker_num,  gl_kero_num, gl_grain_num,  other_fuel_num,  gl_biodiesel_num, other_energy_desc,Total
0001,MB,DO,0,0,"8,763,227",0,0,0,0,0,0,0,0,0,0,"1,548,193",,10311420
0001,TB,DO,"16,584,491",0,0,0,0,0,0,0,0,0,0,0,0,0,,16584491
0001,VP,DO,0,0,0,"722,183",0,0,0,0,0,0,0,0,0,0,,722183
0002,DR,DO,0,0,"132,221","36,075",0,0,0,0,0,0,0,0,0,0,,168296
0002,MB,DO,0,0,"1,273,570",0,0,0,0,0,0,0,0,0,0,0,,1273570
0002,VP,DO,0,0,0,"60,217",0,0,0,0,0,0,0,0,0,0,,60217
0003,DR,DO,0,0,0,"120,831",0,0,0,0,0,0,0,0,0,0,,120831
0003,MB,DO,0,0,378,"48,441",0,0,0,0,"2,778,329",0,0,0,0,0,,2827148
0003,VP,DO,0,0,0,"298,327",0,0,0,0,0,0,0,0,0,0,,298327
0005,DR,DO,0,0,0,"90,609",0,0,0,0,0,0,0,0,0,0,,90609
0005,MB,DO,0,0,"330,116",0,0,0,0,0,0,0,0,0,0,0,,330116
0006,MB,DO,0,0,"173,090","3,166",0,0,0,0,0,0,0,0,0,0,,176256
0006,VP,DO,0,0,"9,797","17,097",0,0,0,0,0,0,0,0,0,0,,26894
0007,MB,DO,0,0,"923,129",0,0,0,0,0,0,0,0,0,0,"8,486",,931615
0008,LR,DO,"43,058,913",0,0,0,0,0,0,0,0,0,0,0,0,0,,43058913
0008,MB,DO,0,0,"5,634,668",0,0,0,0,0,0,0,0,0,0,"209,018",,5843686
0011,DR,DO,0,0,"34,006",0,0,0,0,0,0,0,0,0,0,0,,34006
0011,MB,DO,0,0,0,0,0,0,0,0,"276,012",0,0,0,0,0,,276012
0012,MB,DO,0,0,"565,208",0,0,0,0,0,0,0,0,0,0,0,,565208
0016,MB,DO,0,0,"51,356",0,0,0,0,0,0,0,0,0,0,0,,51356
0018,DR,DO,0,0,"259,450","97,212",0,0,0,0,0,0,0,0,0,0,,356662
0018,MB,DO,0,0,"597,351",0,0,0,0,0,0,0,0,0,0,0,,597351
0018,VP,DO,0,0,"72,683","164,173",0,0,0,0,0,0,0,0,0,0,,236856
0019,DR,DO,0,0,0,913,0,0,0,0,0,0,0,0,0,"90,498",,91411
0019,MB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,"533,902",,533902
0019,VP,DO,0,0,0,"171,637",0,0,0,0,0,0,0,0,0,0,,171637
0020,DR,DO,0,0,"78,633",286,0,0,0,0,0,0,0,0,0,"166,501",,245420
0020,MB,DO,0,0,"189,273",0,0,0,0,0,0,0,0,0,0,"390,338",,579611
0020,VP,DO,0,0,"23,197","11,494",0,0,0,0,0,0,0,0,0,"54,055",,88746
0021,DR,DO,0,0,0,"131,919",0,0,0,0,0,0,0,0,0,0,,131919
0021,MB,DO,0,0,"344,186","13,997",0,0,0,0,0,0,0,0,0,0,,358183
0022,DR,DO,0,0,"19,596","49,287",0,0,0,0,0,0,0,0,0,0,,68883
0022,MB,DO,0,0,"56,854","3,785",0,0,0,0,0,0,0,0,0,0,,60639
0024,DR,DO,0,0,"177,186",0,0,0,0,0,0,0,0,0,0,0,,177186
0024,MB,DO,0,0,"876,173",0,0,0,0,0,0,0,0,0,0,0,,876173
0025,MB,DO,0,0,"174,628",0,0,0,0,0,"465,999",0,0,0,0,"80,510",,721137
0029,MB,DO,0,0,"1,775,578",0,0,0,0,0,0,0,0,0,0,0,,1775578
0029,VP,DO,0,0,0,"256,638",0,0,0,0,0,0,0,0,0,0,,256638
