AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc
0001,DR,PT,                ,                ,"1,167,105","43,646",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0001,LR,DO,"555,000",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0001,MB,DO,                ,                ,"10,275,568",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0001,MB,PT,                ,                ,"30,383","143,684",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0001,TB,DO,"18,258,379",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0001,VP,DO,                ,                ,                ,"752,717",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0002,DR,DO,                ,                ,"119,235","41,841",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0002,DR,PT,                ,                ,"123,988","43,206",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0002,MB,DO,                ,                ,"1,180,835",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0002,VP,DO,                ,                ,                ,"83,481",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0003,DR,DO,                ,                ,                ,"130,855",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0003,DR,PT,                ,                ,                ,"341,403",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0003,MB,DO,                ,                ,                ,"45,088",                ,                ,                ,                ,"2,868,483",                ,                ,                ,                ,                ,                                                                                                    
0003,VP,DO,                ,                ,                ,"331,119",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0005,DR,DO,                ,                ,                ,"105,654",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0005,MB,DO,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"394,941",                                                                                                    
0006,DR,PT,                ,                ,                ,"44,225",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0006,MB,DO,                ,                ,"174,366",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0006,VP,DO,                ,                ,"8,867","26,863",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0007,DR,PT,                ,                ,                ,"152,054",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0007,MB,DO,                ,                ,"972,145",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0007,MB,PT,                ,                ,"2,263",492,                ,                ,                ,                ,                ,                ,                ,                ,                ,"6,588",                                                                                                    
0007,VP,PT,                ,                ,                ,"17,869",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0008,CR,PT,                ,                ,"107,935",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"2,202",                                                                                                    
0008,DR,PT,                ,                ,                ,"35,572",                ,                ,                ,                ,                ,                ,                ,                ,                ,"851,550",                                                                                                    
0008,LR,DO,"53,556,304",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0008,MB,DO,                ,                ,"5,494,992",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,"250,924",                                                                                                    
0011,DR,DO,                ,                ,"32,515",626,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0011,DR,PT,                ,                ,                ,"3,128",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0011,MB,DO,                ,                ,"25,073","4,291",                ,                ,                ,                ,"215,774",                ,                ,                ,                ,                ,                                                                                                    
0011,MB,PT,                ,                ,"62,555","21,453",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0012,DR,PT,                ,                ,                ,"189,084",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0012,MB,DO,                ,                ,"539,589",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0016,DR,PT,                ,                ,"9,553","17,343",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
0016,MB,DO,                ,                ,"50,276",                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                ,                                                                                                    
